"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","ORF","EntrezGeneID"
"10033669034",0.742903944108691,-0.813861655653105,7.81872396044268,3.56396706685062e-14,1.01907920243019e-13,21.1639347909751,"XIST",7503
"10023804954",0.74203081679135,-0.451919976006424,16.1402178300089,6.55975097880833e-47,1.79039771715285e-45,95.8703903087684,"SERPINA3",12
"10023850308",0.70517033889172,-0.741073495931478,8.00696835016771,9.38795325680366e-15,2.76268573369268e-14,22.4763726417242,"XIST",7503
"10023828117",0.692313314762581,-0.225115644324625,14.654543347888,2.72655874073504e-40,3.78260789665697e-39,80.7243347904875,"S100A8",6279
"10033669027",0.656299099655209,-0.371599797222698,15.7558741695766,3.53355110466716e-45,7.85775699767709e-44,91.9077529421911,"SERPINA3",12
"10023809033",0.621840939904952,-0.165898776505353,14.8333340438812,4.47054499742525e-41,6.67338867232235e-40,82.52083794454,"S100A9",6280
"10025906503",0.588754688505753,-0.0227356594539615,23.0201300462733,5.66441278979729e-79,1.83590699033317e-75,169.289447157885,"FKBP5",2289
"10025903585",0.583767870304101,-0.140833639867666,13.8734940239973,6.66451610710649e-37,7.18222103662361e-36,72.974685460411,"RGS1",5996
"10023805853",0.583013729694905,-0.00502237113704497,18.0166669415559,1.65468841740538e-55,1.32011659440425e-53,115.554952037556,"TNFRSF11B",4982
"10023808677",0.578874448051448,0.239732318431116,20.1649888682251,1.65570585044874e-65,6.22185463714282e-63,138.454287406062,"GFAP",2670
"10033668900",0.577359920055907,0.169026492126338,17.8022048601853,1.62736702942904e-54,1.13430106736735e-52,113.281788885862,"TNFRSF11B",4982
"10025910394",0.569289060167393,0.0150201651477516,20.4838264325152,4.84720941672992e-67,2.61840193679979e-64,141.965561112293,"SLCO4A1",28231
"10025904476",0.561449083551736,-0.0378987706980728,22.0628909600769,1.79637572618572e-74,2.91113913776684e-71,158.98259363132,"C4A",720
"10031919807",0.560816821031406,-0.0380961295706638,21.8692815543256,1.46430060426044e-73,2.10932502043717e-70,156.895968435539,"C4B",721
"10033668510",0.555860330963098,0.0134145983404711,20.0385913998512,5.99078879562347e-65,2.04388371949633e-62,137.174811309804,"SLCO4A1",28231
"10023815929",0.544866057586583,-0.023337015385439,18.0329911840558,1.390153563303e-55,1.12994644962017e-53,115.72817976443,"ADH1B",125
"10023824900",0.5283549395046,-0.107940232017773,15.5898090972682,1.96085577600947e-44,4.0128673572336e-43,90.2045004486391,"FCGBP",8857
"10023814349",0.525863353066283,-0.0823237149507495,20.9429104374421,3.35784338180205e-69,2.72079753271079e-66,146.910721916642,"C4B",721
"10023824916",0.524316043625568,-0.141251040804711,15.6404985397019,1.16287022562735e-44,2.4375151237099e-43,90.723806414499,"CP",1356
"10033668934",0.519145315787602,-0.00167622412591006,20.2480623691779,6.21737551741603e-66,2.55889412366794e-63,139.427931100022,"TNFRSF10D",8793
"10023822610",0.516606802674187,0.0814486222014989,17.8192791646059,1.35683197930069e-54,9.61237606319331e-53,113.462581490832,"CEBPD",1052
"10023809293",0.514239191568218,0.0765230821002146,13.0428759642473,2.24871663949878e-33,1.89062820186653e-32,64.9100149985597,"MGP",4256
"10033668776",0.510482974477508,0.117103673291006,16.9963290082988,8.33199743745977e-51,3.54746078088496e-49,104.789274328111,"MT2A",4502
"10025907773",0.508727875038241,0.110172951020557,17.0223723065457,6.33079520988366e-51,2.72676393682846e-49,105.062376895821,"MT2A",4502
"10023824665",0.502332186793407,-0.0322366404404711,15.2287760103516,7.97809274430453e-43,1.38648771291603e-41,86.521438419452,"CXCL1",2919
"10023823706",0.499465602160982,-0.0460462506541756,21.7576433761973,4.91044391750481e-73,6.36614501684912e-70,155.692639126419,"SLC7A2",6542
"10025903318",0.495357754136891,0.0211992515856531,10.7711223471139,2.55851012842283e-24,1.24324604797368e-23,44.2309403907994,"OGN",4969
"10023825699",0.495182162083927,-0.0582120207042827,17.063350421741,4.10841624358565e-51,1.80554448779546e-49,105.492288971624,"MCPH1",79648
"10025909172",0.491441702888597,0.0432890778672377,15.2319190852728,7.72573946150324e-43,1.34624125334219e-41,86.5533800974186,"PDLIM1",9124
"10023828454",0.488393808398623,0.0464367034385439,19.8206203496843,6.31688796502058e-64,1.7803324787502e-61,134.832058453699,"SYTL4",94121
"10033668850",0.485436961026895,0.00258612675374732,22.0210591804661,2.82661698498842e-74,4.31125598845675e-71,158.53178561044,"C4A",720
"10025903807",0.473491745085517,-0.0386812777318009,18.0773460731479,8.65851606625743e-56,7.43399546629102e-54,116.198998968737,"MAFF",23764
"10023820660",0.473394968281488,-0.0604415892933619,10.2441106377595,2.34927686082168e-22,1.023943515284e-21,39.7565554478953,"OGN",4969
"10023808029",0.472386940585864,-0.21561835964454,15.2355895346445,7.44110893050974e-43,1.29751522164887e-41,86.5906840377452,"CD44",960
"10023813116",0.471247377489004,0.0703060728381156,20.8661404239173,7.7142009357481e-69,6.06125806251553e-66,146.083497378003,"",26471
"10026393559",0.468092191231613,-0.0490074408312634,16.8897779313827,2.56072879487945e-50,1.02306836552279e-48,103.672952546307,"CSDA",8531
"10023826689",0.468071445019848,0.00519596163169165,18.6175476409854,2.67079147129152e-58,3.46254760295589e-56,121.948322784124,"MT1X",4501
"10023838132",0.467583051976967,-0.159987057890792,15.4117159471036,1.22425054131232e-43,2.30527177092862e-42,88.384197773125,"SCIN",85477
"10023815897",0.46269221929622,-0.12448791593576,16.7232126999525,1.47626318040501e-49,5.42950751840022e-48,101.93126177223,"EMP1",2012
"10025910867",0.462255484023023,0.0181614275920771,10.0508810709527,1.18995794185125e-21,4.99585807549563e-21,38.1514059239704,"SLC13A4",26266
"10025905163",0.462015873704623,-0.121304041558887,12.4703268812268,5.12812068501048e-31,3.69660943123816e-30,59.5201699865446,"S100A12",6283
"10025907360",0.461560049570639,-0.0845538540235546,18.6413741134299,2.06842002714095e-58,2.73632973896621e-56,122.202504088908,"TLR2",7097
"10023813030",0.459518690415622,-0.0736950865740899,20.0656054036331,4.47341519033004e-65,1.56744841175767e-62,137.465291148456,"",389185
"10023812840",0.458015635741212,0.040074319270515,16.962866226027,1.2461258803575e-50,5.18247757721258e-49,104.38970143627,"HSPB1",3315
"10023827391",0.457562898189513,-0.0137079913173448,17.3373459989925,2.26733136052274e-52,1.18527489610875e-50,108.372802599775,"C1QA",712
"10025907055",0.453438997191309,0.0247184016038544,10.153901923949,5.02238497998073e-22,2.14857977472233e-21,39.0047690798315,"SLC22A2",6582
